UserId,Movie,Vote
1,Wonka, dislike
1,Oppenheimer,like
1,The Iron Claw,like
1,Aquaman and the Lost Kingdom, dislike
1,Murder Mystery 2, like
1,No Hard Feelings, dislike
1,Insidious: The Red Door, like
1,Shazam! Fury of the Gods, dislike
1,The Marvels, dislike
2,The Marvels, like
2,Spider-Man: Across the Spider-Verse, like
2,The Iron Claw,dislike
2,The Super Mario Bros. Movie,like
2,Oppenheimer,dislike
1,A Million Miles Away,like
2,Dungeons & Dragons: Honor Among Thieves,like
1,Radical,dislike
2,Guardians of the Galaxy Vol. 3,like
2,Barbie,dislike
1,Air,dislike
1,Dumb Money,dislike
